id,ime,dolzina,sirina,leto,uporabljenost,cena,lokacija
441711,Ferretti 510,16.2,4.94,2023,New Boat on Order,932200,Slovenia
551519,Sunseeker Camargue 50,16.13,4.32,2001,Used Boat,209000,Croatia
527237,Ferretti 460,16.1,4.6,2005,Used Boat,335000,Croatia
548933,Hanse 540e,16.08,4.91,2008,Used Boat,270000,Croatia
530883,Dellapasqua DC16,16.02,4.4,2008,Used Boat,235000,Croatia
549903,Doggersbank TRAWLER  1600,16.0,4.55,1994,Used Boat,333000,Croatia
549245,Atlantis 50,16.0,4.0,2009,Used Boat,450000,Croatia
542202,Sea Ray Sundancer 460,16.0,4.35,1999,Used Boat,180000,Croatia
539077,Latini Marine 52,16.0,4.61,2002,Used Boat,110000,Croatia
532417,Menorquin 160,16.0,5.0,2008,Used Boat,450000,Croatia
502829,MORE 55,16.0,5.0,2019,Used Boat,540000,Croatia
490686,Absolute 52 Fly,16.0,4.5,2015,Used Boat,755000,Croatia
520243,Absolute 52 STY,15.99,4.78,2011,Used Boat,489000,Croatia
536021,Sunbeam 53,15.98,4.55,2008,Used Boat,449000,Croatia
448475,Murtic 52,15.98,4.7,2010,Used Boat,450000,Croatia
550873,Princess V52 - 52,15.97,4.22,1996,Used Boat,199000,Croatia
348124,Menorquin 160,15.95,5.0,2006,Used Boat,290000,Croatia
526282,Bénéteau Océanis 51.1,15.94,4.8,2018,Used Boat,375000,Croatia
512047,Absolute 52 Fly,15.93,4.51,2020,Used Boat,1125000,Slovenia
548736,Johnson 56,15.9,5.1,1996,Used Boat,250000,Croatia
530816,Absolute Navetta 52,15.9,4.65,2023,New Boat from Stock,1656000,Croatia
488526,Galeon 550 FLY - BJ. 2021,15.85,4.77,2021,Used Boat,1290000,Croatia
544422,Ferretti 500 Elite,15.83,4.8,2006,Used Boat,320000,Slovenia
511710,CRANCHI E52F Fly Evoluzione,15.82,4.67,2021,Used Boat,1350000,Croatia
522213,Marte Cigarette 15.80 Meters,15.8,3.0,1996,Used Boat,350000,Croatia
517077,Altena 52 Exclusief,15.8,4.5,1998,Used Boat,199000,Slovenia
537561,Jeanneau Sun Odyssey 519,15.75,4.69,2016,Used Boat,220000,Croatia
382030,Jeanneau Sun Odyssey 519,15.75,4.69,2016,Used Boat,241500,Croatia
542241,Cranchi Atlantique 48,15.72,4.33,2002,Used Boat,319000,Croatia
491374,Cranchi Atlantique 48,15.72,4.33,2006,Used Boat,259000,Croatia
539521,Princess 49,15.7,4.3,2017,Used Boat,850000,Croatia
466192,Picchiotti Classic Bermuda Ketch,15.7,3.4,1931,Used Boat,169000,Croatia
282652,Elan 514 Impression,15.69,4.68,2007,Used Boat,220000,Croatia
515867,Sunseeker Manhattan 50,15.66,4.53,2007,Used Boat,450000,Croatia
548771,Bavaria 51,15.6,4.6,1993,Used Boat,85000,Croatia
508555,Princess 500,15.6,4.38,1993,Used Boat,200000,Croatia
514246,Ferretti 500 Elite,15.6,4.6,2006,Used Boat,285000,Slovenia
549225,Bavaria 51 Cruiser,15.59,4.67,2021,Used Boat,395000,Croatia
549923,Hanse 508,15.55,4.75,2020,Used Boat,450000,Croatia
549226,Hanse 508,15.55,4.75,2022,Used Boat,480000,Croatia
444385,Hanse 508,15.55,4.75,2019,Used Boat,273000,Croatia
551421,Azimut 50 FLY - 2008,15.54,4.55,2008,Used Boat,450000,Croatia
530517,Bavaria Cruiser 51,15.54,4.67,2017,Used Boat,230000,Croatia
526663,Leopard 51 Powercat,15.54,7.64,2017,Used Boat,599000,Croatia
514691,Bavaria Cruiser 51,15.54,4.67,2016,Used Boat,240000,Croatia
500160,Sea Ray 515,15.54,4.47,2006,Used Boat,299000,Croatia
390033,Vicenzo Calabria Italia 1981 BAGNAKA CAL,15.52,4.16,1981,Used Boat,120000,Croatia
496117,Azimut 50,15.51,4.55,2004,Used Boat,299000,Croatia
451360,Azimut 50,15.51,4.55,2003,Used Boat,355000,Croatia
525008,Carnevali 155,15.5,4.56,2000,Used Boat,255000,Croatia
523569,Dufour 530,15.5,4.98,2021,Used Boat,520000,Croatia
493183,Sea Ray 515 Sundancer,15.5,4.47,2006,Used Boat,299000,Croatia
487614,Formosa 51 Ketch,15.5,4.5,1986,Used Boat,140000,Croatia
239537,Princess V50,15.5,4.2,2003,Used Boat,199500,Croatia
541136,Formosa 51,15.49,4.29,1980,Used Boat,159000,Croatia
533987,Sea Ray 450 DA,15.49,4.24,1996,Used Boat,159000,Croatia
431026,Princess V 50,15.49,4.22,2005,Used Boat,240000,Croatia
550220,Greenline 48 FLY,15.45,4.8,2019,Used Boat,514000,Croatia
528453,Greenline 48 FLY - HYBRID,15.45,4.79,2017,Used Boat,650000,Slovenia
523958,Greenline 48 Fly,15.44,4.8,2019,Used Boat,495000,Croatia
