id,ime,kategorija,dolzina,sirina,leto,uporabljenost,cena,lokacija
551769,Hanse 588,['Sailing Yacht'],17.2,5.2,2019,Used Boat,525000,Croatia
515186,Hanse 588,"['Cruising Yacht', 'Sailing Yacht']",17.2,5.2,2020,Used Boat,579800,Croatia
533632,Dufour 56 Exclusive,['Sailing Yacht'],17.15,5.05,2018,Used Boat,594000,Croatia
488022,Dufour 56 Exclusive,['Sailing Yacht'],17.15,5.05,2019,Used Boat,495000,Croatia
379887,Dufour 560 Grand Large,['Sailing Yacht'],17.15,5.05,2016,Used Boat,385000,Croatia
487759,Pearlsea 56 Coupe,['Motor Yacht'],17.07,4.47,2017,Used Boat,490000,Croatia
375749,Sunseeker Predator 52,['Motor Yacht'],17.02,4.63,2008,Used Boat,420000,Croatia
347426,Cantieri di Baia Baia 54 Aqua HT,['Motor Yacht'],17.0,4.75,2004,Used Boat,295000,Croatia
466222,Johnson 56,"['Flybridge', 'Motor Yacht']",16.97,4.2,1998,Used Boat,170000,Croatia
543782,Mystic 55,['Sailing Yacht'],16.95,4.77,1999,Used Boat,425000,Croatia
544867,Azimut 55 FLY,"['Flybridge', 'Motor Yacht']",16.9,4.9,2020,Used Boat,1440000,Croatia
521287,Rodman 54 Muse,['Motor Yacht'],16.89,4.72,2008,Used Boat,450000,Croatia
544418,Bénéteau Oceanis 55,['Sailing Yacht'],16.78,4.96,2017,Used Boat,390000,Croatia
522191,Bénéteau Oceanis 55,['Sailing Yacht'],16.78,4.96,2017,Used Boat,390000,Croatia
548906,Bavaria 56 Cruiser,['Sailing Yacht'],16.75,4.76,2015,Used Boat,288200,Croatia
543010,Jeanneau Sun Odyssey 54 DS,['Sailing Yacht'],16.75,4.86,2003,Used Boat,265000,Croatia
350480,Bavaria 55 Cruiser,['Sailing Yacht'],16.75,4.87,2011,Used Boat,250000,Croatia
524770,More 55,['Sailing Yacht'],16.7,5.0,2006,Used Boat,1200000,Croatia
536478,Abati Yachts 55 Portland,['Motor Yacht'],16.68,5.32,2006,Used Boat,500000,Croatia
533491,Pershing 5X,['Hardtop'],16.57,4.37,2022,Used Boat,1250000,Croatia
537399,High Performance 55,['Sailing Yacht'],16.5,4.5,1991,Used Boat,140000,Croatia
517472,Cayman 62,['Motor Yacht'],16.5,5.0,2004,Used Boat,380000,Croatia
513818,Princess 56,['Motor Yacht'],16.5,4.74,2014,Used Boat,995000,Croatia
479562,Apreamare 54,['Motor Yacht'],16.5,5.08,2006,Used Boat,390000,Croatia
230003,Bertram 54,['Motor Yacht'],16.46,5.16,2000,Used Boat,470000,Croatia
463394,Selene 50 Eurodeck,['Trawler'],16.43,4.78,2024,New Boat from Stock,945300,Slovenia
463344,Selene 49,['Trawler'],16.43,4.78,2024,New Boat from Stock,886300,Slovenia
544972,Azimut 54 Flybridge,"['Flybridge', 'Motor Yacht']",16.4,4.74,2013,Used Boat,899000,Croatia
542304,Fairline Squadron 52,['Motor Yacht'],16.34,4.65,2001,Used Boat,349000,Croatia
551770,Hanse 548,['Sailing Yacht'],16.22,5.05,2022,Used Boat,480000,Croatia
550157,Hanse 548,"['Cruising Yacht', 'Sailing Yacht']",16.22,5.05,2018,Used Boat,298800,Croatia
549224,Hanse 548,['Sailing Yacht'],16.22,5.05,2019,Used Boat,800000,Croatia
444390,Hanse 548,['Sailing Yacht'],16.22,5.05,2018,Used Boat,358800,Croatia
545010,Galeon 500 Fly,"['Flybridge', 'Motor Yacht']",16.2,4.46,2020,Used Boat,990000,Croatia
539037,Galeon 530,"['Flybridge', 'Motor Yacht']",16.2,4.7,2007,Used Boat,470000,Croatia
537076,Galeon 530,"['Flybridge', 'Motor Yacht']",16.2,4.7,2008,Used Boat,470000,Croatia
441711,Ferretti 510,"['Flybridge', 'Motor Yacht']",16.2,4.94,2023,New Boat on Order,932200,Slovenia
551519,Sunseeker Camargue 50,['Motor Yacht'],16.13,4.32,2001,Used Boat,209000,Croatia
527237,Ferretti 460,['Motor Yacht'],16.1,4.6,2005,Used Boat,335000,Croatia
548933,Hanse 540e,['Sailing Yacht'],16.08,4.91,2008,Used Boat,270000,Croatia
530883,Dellapasqua DC16,['Motor Yacht'],16.02,4.4,2008,Used Boat,235000,Croatia
549903,Doggersbank TRAWLER  1600,['Trawler'],16.0,4.55,1994,Used Boat,333000,Croatia
